cel:2
lang:en
bathroom;łazienka
bedroom;sypialnia
door;drzwi
floor;podłoga
garage;garaż
garden;ogród
kitchen;kuchnia
living room;pokój dzienny, salon
wall;ściana
window;okno
armchair;fotel
bath;wanna
bed;łóżko
chair;krzesło
desk;biurko
fridge;lodówka
sofa;sofa, kanapa
table;stół
wardrobe;szafa
inside;wewnątrz
nothing;nic
object;przedmiot
part;część
place;miejsce
behind;za
in;w
in front of;przed
next to;obok
on;na
under;pod
board;tablica
book;książka
boy;chłopiec
carpet;dywan
cushion;poduszka
lamp;lampa
plant;roślina doniczkowa
poster;plakat
television (TV);telewizor
